o_cell_id,o_cell_x,o_cell_y,d_cell_id,d_cell_x,d_cell_y,o_admi_cd,d_admi_cd,st_time_cd,fns_time_cd,in_forn_div_nm,move_trans,move_dist,move_time,male_00_cnt,male_10_cnt,male_15_cnt,male_20_cnt,male_25_cnt,male_30_cnt,male_35_cnt,male_40_cnt,male_45_cnt,male_50_cnt,male_55_cnt,male_60_cnt,male_65_cnt,male_70_cnt,male_75_cnt,male_80_cnt,male_85_cnt,feml_00_cnt,feml_10_cnt,feml_15_cnt,feml_20_cnt,feml_25_cnt,feml_30_cnt,feml_35_cnt,feml_40_cnt,feml_45_cnt,feml_50_cnt,feml_55_cnt,feml_60_cnt,feml_65_cnt,feml_70_cnt,feml_75_cnt,feml_80_cnt,feml_85_cnt,total_cnt,etl_ymd
다사60754550,960875,1945625,다사42754225,942875,1942375,11680580,41210540,1840,1940,내국인,6,18305,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,20250602
다사60507200,960625,1972125,다사59007300,959125,1973125,41150580,41150620,14,15,내국인,5,1817,25,0.00,0.00,0.00,0.00,3.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.43,20250602
다사60257150,960375,1971625,다사60007150,960125,1971625,41150510,41150510,16,16,내국인,7,250,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,20250602
다사60506250,960625,1962625,다사59757175,959875,1971875,11350700,41150510,0700,0720,내국인,8,9230,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,20250602
다사60256350,960375,1963625,다사61506300,961625,1963125,11350630,11350710,06,0720,내국인,7,1208,34,0.00,0.00,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.12,20250602
다사60506375,960625,1963875,다사59756125,959875,1961375,11350630,11320511,0700,0740,내국인,9,2644,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.25,20250602
다사60754600,960875,1946125,다사56254325,956375,1943375,11680580,11650530,13,13,내국인,8,5240,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,20250602
다사60755700,960875,1957125,다사52505125,952625,1951375,11290780,11410565,14,15,내국인,6,10166,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,20250602
다사60256225,960375,1962375,다사58506025,958625,1960375,11320514,11305595,11,12,내국인,6,2624,77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,0.00,0.00,3.75,20250602
다사60755550,960875,1955625,다사67003700,967125,1937125,11230740,41133510,16,1800,내국인,6,19543,86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,20250602
다사60756425,960875,1964375,다사60756425,960875,1964375,11350630,11350630,1940,20,내국인,5,0,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,2.90,20250602
다사60504950,960625,1949625,다사60504875,960625,1948875,11200690,11200670,1800,1800,내국인,7,701,11,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,20250602
다사60753975,960875,1939875,다사61755000,961875,1950125,11650660,11200720,14,15,내국인,8,10231,32,0.00,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.34,20250602
다사60255150,960375,1951625,다사59005275,959125,1952875,11200790,11230536,14,14,내국인,8,1732,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,20250602
다사60505500,960625,1955125,다사58505775,958625,1957875,11230710,11305545,21,21,내국인,8,3314,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83,20250602
다사60755425,960875,1954375,다사59755350,959875,1953625,11230730,11230560,1800,1820,내국인,7,1237,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.49,20250602
