start_dt,arv_dt,start_emd,arv_emd,sex_nm,agegrd_nm,start_arv_place_type,mvmn_time_sum,mvmn_dstc,popl_cnt
2019-09-30 08:40,2019-10-01 01:00,2331033,1124058,F,25,EE,983,55695,2.06
2019-09-30 08:40,2019-10-01 01:00,2402055,1122060,F,65,EE,974,261013,4.69
2019-09-30 08:40,2019-10-01 01:20,1117071,3602066,M,25,EH,997,311977,2.30
2019-09-30 08:40,2019-10-01 01:20,1121080,2402060,F,20,EE,1018,258317,2.16
2019-09-30 08:40,2019-10-01 02:20,3401159,1108064,M,35,EH,1065,89312,2.72
2019-09-30 08:40,2019-10-01 03:00,1107057,3401159,M,55,HH,1100,83711,3.27
2019-09-30 08:40,2019-10-01 03:20,1115071,2202059,M,50,HH,1128,241181,3.30
2019-09-30 08:40,2019-10-01 06:00,1123077,3135036,M,75,EH,1286,76731,5.91
2019-09-30 08:40,2019-10-01 07:20,3603056,1113073,M,10,EE,1366,294189,6.68
2019-09-30 08:40,2019-10-01 07:40,1117064,2501077,M,35,HE,1375,139744,2.74
2019-09-30 08:40,2019-10-01 07:40,1119054,3436035,M,40,EE,1378,112349,3.03
2019-09-30 09:00,2019-10-01 00:40,1116051,3405038,M,15,EW,941,99006,4.49
2019-09-30 09:00,2019-10-01 00:40,2207061,1124063,M,20,HE,926,221443,2.67
2019-09-30 09:00,2019-10-01 01:00,1113071,2405075,M,50,EE,955,264781,3.30
2019-09-30 09:00,2019-10-01 01:00,1116069,3901056,M,40,EE,948,449120,3.02
2019-09-30 09:00,2019-10-01 01:00,1117056,3501269,M,35,EH,957,186875,2.74
2019-09-30 09:00,2019-10-01 01:00,1125072,3501169,F,25,HE,973,197103,2.06
2019-09-30 09:00,2019-10-01 01:00,3107059,1124080,M,40,WE,959,57383,3.00
2019-09-30 09:00,2019-10-01 01:20,1116069,3901013,F,25,EE,982,447619,2.05
2019-09-30 09:00,2019-10-01 01:20,2405054,1102067,F,70,EH,988,271901,5.72
2019-09-30 09:00,2019-10-01 01:20,3603038,1101070,M,80,EE,982,283855,9.56
2019-09-30 09:00,2019-10-01 02:00,1117071,3602052,F,25,HE,1022,314750,2.05
2019-09-30 09:00,2019-10-01 02:40,1116071,2401051,M,25,HE,1062,267708,2.28
2019-09-30 09:00,2019-10-01 04:00,3803072,1122059,F,50,EE,1136,276223,3.13
2019-09-30 09:00,2019-10-01 06:20,2101053,1101061,F,25,EH,1267,329386,2.02
2019-09-30 09:00,2019-10-01 08:40,1119073,3334011,F,60,EE,1430,167740,3.80
2019-09-30 09:00,2019-10-01 08:40,3302060,1108081,F,50,EE,1432,107701,3.12
2019-09-30 09:00,2019-10-01 08:40,3702067,1115063,M,60,EH,1425,287486,3.54
2019-09-30 09:00,2019-10-01 09:00,3241032,1104054,M,30,EW,1427,154247,2.37
2019-09-30 09:20,2019-10-01 00:40,3701267,1122052,F,25,HE,928,263533,2.06
2019-09-30 09:20,2019-10-01 01:00,1102054,3602052,F,25,EE,944,319587,2.08
2019-09-30 09:20,2019-10-01 01:00,1109072,2404068,M,60,HE,931,271328,3.52
2019-09-30 09:20,2019-10-01 01:00,1119070,3603062,M,40,HE,934,285824,3.02
2019-09-30 09:20,2019-10-01 01:20,1116069,3901056,M,55,EE,960,449251,3.30
2019-09-30 09:20,2019-10-01 02:00,2301064,1105064,M,45,EE,997,58075,3.15
2019-09-30 09:20,2019-10-01 03:40,1116071,3204051,F,20,EE,1108,203925,2.20
2019-09-30 09:20,2019-10-01 06:20,1123067,3232033,M,15,HE,1261,109479,4.57
2019-09-30 09:20,2019-10-01 07:40,1110061,3234037,F,20,HE,1341,147760,2.20
2019-09-30 09:20,2019-10-01 07:40,3203059,1103073,F,35,EH,1353,174054,2.99
2019-09-30 09:20,2019-10-01 08:20,2501065,1124065,M,55,EE,1362,130444,3.28
2019-09-30 09:20,2019-10-01 08:40,1116071,3304255,M,25,WE,1392,121888,2.27
2019-09-30 09:20,2019-10-01 09:00,1114072,2401068,M,25,HE,1421,269100,2.25
2019-09-30 09:20,2019-10-01 09:20,3404055,1107070,M,60,EE,1436,96017,3.48
2019-09-30 09:40,2019-10-01 00:00,2404080,1123051,F,20,EW,849,256320,2.19
